project,scene_id,title,archetype_code,archetype_name,image_path
01-01-1983-0,0,Title Card,AT_TITLE,Atmospheric Title / Closing Card,/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_000.png
01-01-1983-0,1,The Roadmap,ROADMAP,Roadmap / Agenda List,/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_001.png
01-01-1983-0,2,The Baseline Challenge,BASELINE_SPLIT,Baseline vs Target Split Metric,/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_002.png
01-01-1983-0,3,The Measurement Tools,MEASURE,Measurement Primer (qEEG setup),/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_003.png
01-01-1983-0,4,The Breakthrough,MULTI_TREND,Multi-Session Trend (3 snapshots),/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_004.png
01-01-1983-0,5,The Efficiency Paradox,SPLIT,Split Comparison (opposing trends),/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_005.png
01-01-1983-0,6,Neural Efficiency Explained,AT_METAPHOR,Atmospheric Metaphor Scene,/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_006.png
01-01-1983-0,7,The Alpha Frequency Shift,GAUGE,Gauge / Arc / Ratio Meter,/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_007.png
01-01-1983-0,8,The Session Two Mystery,TIMELINE,Session Timeline / Milestone Dates,/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_008.png
01-01-1983-0,9,Simple vs Complex Tasks,SPLIT,Split Comparison (opposing trends),/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_009.png
01-01-1983-0,10,Processing Speed Gains,DOTPLOT,Dot-Plot / Scatter Variability,/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_010.png
01-01-1983-0,11,Network Stability,COH_MAP,Coherence Network Map (single state),/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_011.png
01-01-1983-0,12,Synthesis: The Full Picture,PATHWAY,Pathway / Hub-and-Spoke Synthesis,/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_012.png
01-01-1983-0,13,The LUMIT Factor,AT_MECHANISM,Mechanism Illustration,/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_013.png
01-01-1983-0,14,Next Steps Forward,FUTURE,Forward Monitoring / Projection,/Users/davidmontgomery/local-explainer-video/projects/01-01-1983-0/images/scene_014.png
01-01-1989-0,0,Title Card,AT_TITLE,Atmospheric Title / Closing Card,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_000.png
01-01-1989-0,1,The Roadmap,ROADMAP,Roadmap / Agenda List,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_001.png
01-01-1989-0,2,Three Snapshots in Time,TIMELINE,Session Timeline / Milestone Dates,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_002.png
01-01-1989-0,3,The Measurement Tool,MEASURE,Measurement Primer (qEEG setup),/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_003.png
01-01-1989-0,4,The Paradox Revealed,SPLIT,Split Comparison (opposing trends),/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_004.png
01-01-1989-0,5,Speed Versus Power,LINE_TRAJECTORY,Non-linear Line Trajectory,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_005.png
01-01-1989-0,6,"Two Hemispheres, Two Jobs",HEMI,Hemispheric Lateralization Compare,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_006.png
01-01-1989-0,7,Right Side: The Speedster,HEMI,Hemispheric Lateralization Compare,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_007.png
01-01-1989-0,8,Left Side: The Amplifier,HEMI,Hemispheric Lateralization Compare,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_008.png
01-01-1989-0,9,The Balancing Act,HEMI,Hemispheric Lateralization Compare,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_009.png
01-01-1989-0,10,Regional Frequency Tuning,REGIONAL,Regional Frequency Tuning Map,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_010.png
01-01-1989-0,11,The Sensory Anchor,MULTI_TREND,Multi-Session Trend (3 snapshots),/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_011.png
01-01-1989-0,12,The Session Two Dip,MULTI_TREND,Multi-Session Trend (3 snapshots),/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_012.png
01-01-1989-0,13,The Behavior Lag Mystery,FLOW,Causal Flowchart / Processing Stages,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_013.png
01-01-1989-0,14,What The Data Shows,SUMMARY,Verdict / Checklist Summary,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_014.png
01-01-1989-0,15,The Path Forward,FUTURE,Forward Monitoring / Projection,/Users/davidmontgomery/local-explainer-video/projects/01-01-1989-0/images/scene_015.png
01-01-1991-0,0,The Brain's Workaround,AT_TITLE,Atmospheric Title / Closing Card,/Users/davidmontgomery/local-explainer-video/projects/01-01-1991-0/images/scene_000.png
